Datos de la Planta a lazo abierto (Gla) o lazo cerrado (Glc)
C:\Users\Paulo\Documents\PAULO\CONTROL\ETN1040\3D printer\3D PRINTER PROJECT\analisis\datos recolectados\Gp_tm1000ms_19V_3kHz.txt
28/02/2014 01:54:19 p.m.

r(t):Voltaje[V]  y(t):Voltaje[V]  y(t):Temp[°C]  Tiempo de muestreo:tm[ms]
1,03085                      0,66368                     39,8208                     112856,4017
1,03085                      0,67344                     40,4064                     113870,4034
1,03085                      0,6832                     40,992                     114884,4052
1,03085                      0,61976                     37,1856                     115898,407
1,03085                      0,63928                     38,3568                     116912,4088
1,03085                      0,6832                     40,992                     117926,4106
1,03085                      0,6832                     40,992                     118940,4123
1,03085                      0,6588                     39,528                     119954,4141
1,03085                      0,70272                     42,1632                     120968,4159
1,03085                      0,69296                     41,5776                     121982,4177
1,03085                      0,7076                     42,456                     122996,4195
1,03085                      0,6588                     39,528                     124010,4213
1,03085                      0,69296                     41,5776                     125024,423
1,03085                      0,66368                     39,8208                     126038,4248
1,03085                      0,68808                     41,2848                     127052,4266
1,03085                      0,66856                     40,1136                     128066,4284
1,03085                      0,71248                     42,7488                     129080,4302
1,03085                      0,7076                     42,456                     130094,4319
1,03085                      0,67832                     40,6992                     131108,4337
1,03085                      0,69296                     41,5776                     132122,4355
1,03085                      0,69784                     41,8704                     133136,4373
1,03085                      0,69296                     41,5776                     134150,4391
1,03085                      0,70272                     42,1632                     135164,4408
1,03085                      0,6832                     40,992                     136178,4426
1,03085                      0,70272                     42,1632                     137192,4444
1,03085                      0,72712                     43,6272                     138206,4462
1,03085                      0,67832                     40,6992                     139220,448
1,03085                      0,70272                     42,1632                     140234,4497
1,03085                      0,66368                     39,8208                     141248,4515
1,03085                      0,71736                     43,0416                     142262,4533
1,03085                      0,732                     43,92                     143276,4551
1,03085                      0,7076                     42,456                     144290,4569
1,03085                      0,71736                     43,0416                     145304,4587
1,03085                      0,72712                     43,6272                     146318,4604
1,03085                      0,74176                     44,5056                     147332,4622
1,03085                      0,68808                     41,2848                     148346,464
1,03085                      0,7564                     45,384                     149360,4658
1,03085                      0,71248                     42,7488                     150374,4676
1,03085                      0,74664                     44,7984                     151388,4693
1,03085                      0,7076                     42,456                     152402,4711
1,03085                      0,73688                     44,2128                     153416,4729
1,03085                      0,69784                     41,8704                     154430,4747
1,03085                      0,7564                     45,384                     155444,4765
1,03085                      0,71736                     43,0416                     156458,4782
1,03085                      0,73688                     44,2128                     157472,48
1,03085                      0,73688                     44,2128                     158486,4818
1,03085                      0,74176                     44,5056                     159500,4836
1,03085                      0,732                     43,92                     160514,4854
1,03085                      0,77104                     46,2624                     161528,4871
1,03085                      0,74664                     44,7984                     162542,4889
1,03085                      0,77104                     46,2624                     163556,4907
1,03085                      0,75152                     45,0912                     164570,4925
1,03085                      0,7564                     45,384                     165584,4943
1,03085                      0,72712                     43,6272                     166598,4961
1,03085                      0,77592                     46,5552                     167612,4978
1,03085                      0,80032                     48,0192                     168798,0999
1,03085                      0,79056                     47,4336                     169640,5014
1,03085                      0,73688                     44,2128                     170654,5032
1,03085                      0,74176                     44,5056                     171668,505
1,03085                      0,76616                     45,9696                     172682,5067
1,03085                      0,76128                     45,6768                     173696,5085
